plan,date,latitude,longitude,qty_notes
Plan A,2016-03-02,9.40903984716,-78.8381397261,30
Plan B,2016-03-02,9.36582489444,-79.2654789255,31
Plan B,2016-03-02,9.36311413158,-78.838012771,28
Plan B,2016-03-02,9.35863531984,-78.8847545471,25
Plan B,2016-03-02,9.34013347565,-78.8382778639,23
Plan B,2016-03-02,9.34819237106,-78.9538752972,27
Plan B,2016-03-02,9.35324890638,-79.0870228591,30
Plan B,2016-03-02,9.50040720158,-78.8537063184,33
Plan B,2016-03-02,9.36531419921,-78.810982869,40
Plan B,2016-03-02,9.3526032447,-78.8844272581,41
Plan C,2016-03-02,9.36198136545,-79.2954737265,19
Plan C,2016-03-02,9.31367150688,-78.8845877596,21
Plan C,2016-03-02,9.28929826272,-79.2955516268,22
Plan C,2016-03-02,9.35898353771,-79.2127101703,29
Plan C,2016-03-02,9.36543221714,-78.8375051632,26
Plan C,2016-03-02,9.36073479603,-78.8122542059,27
Plan C,2016-03-02,9.3518573407,-78.812418373,26
Plan C,2016-03-02,9.36149440483,-79.3617868661,34
Plan C,2016-03-02,9.35008159183,-78.884249714,26
Plan D,2016-03-02,9.36548170784,-78.8540076551,25
Plan D,2016-03-02,9.35394554605,-79.0032112655,28
Plan D,2016-03-02,9.34857410593,-78.8123925046,26
Plan D,2016-03-02,9.3494459674,-79.4973823949,18
Plan D,2016-03-02,9.36007048103,-79.0028080632,26
Plan D,2016-03-02,9.36757423851,-78.8116559347,21
Plan D,2016-03-02,9.36465822226,-78.8529717465,34
Plan D,2016-03-02,9.36788089788,-79.4229838544,27
Plan D,2016-03-02,9.36399489094,-78.8846798192,24
Plan E,2016-03-02,9.35131991833,-78.8124048791,33
Plan E,2016-03-02,9.3664781432,-78.8117897754,19
Plan E,2016-03-02,9.35862231734,-79.0864792783,31
Plan E,2016-03-02,9.36285890098,-78.9540136884,37
Plan E,2016-03-02,9.36484085462,-79.2133761101,23
Plan E,2016-03-02,9.34869901062,-78.8847856426,27
Plan E,2016-03-02,9.49550198035,-78.8118280387,33
Plan E,2016-03-02,9.35870164726,-78.852758301,18
Plan E,2016-03-02,9.36636071348,-79.1315427526,23
Plan F,2016-03-02,9.28986237047,-78.8115076776,23
Plan F,2016-03-02,9.35163737025,-78.9540765339,28
Plan F,2016-03-02,9.34765047794,-78.8115299861,35
Plan F,2016-03-02,9.36794629113,-79.0966369271,27
Plan F,2016-03-02,9.36431121298,-79.0958100939,33
Plan F,2016-03-02,9.36542310981,-78.811908719,30
Plan F,2016-03-02,9.3511452213,-78.954326957,27
Plan F,2016-03-02,9.36458983464,-79.0027924323,34
Plan F,2016-03-02,9.35297912553,-78.8533941739,32
Plan G,2016-03-02,9.36338027404,-78.8376873948,32
Plan G,2016-03-02,9.36287367077,-78.8539192815,14
Plan G,2016-03-02,9.36342459199,-79.2132984914,24
Plan G,2016-03-02,9.36330032898,-78.83783425,23
Plan G,2016-03-02,9.33993246407,-78.8383636063,32
Plan G,2016-03-02,9.35593606622,-78.853681256,29
Plan G,2016-03-02,9.36169255335,-79.0033966611,29
Plan G,2016-03-02,9.35609526879,-79.0867582733,25
Plan G,2016-03-02,9.35110332795,-78.8124508914,19
Plan A,2016-03-03,9.34940073191,-78.8115478453,26
Plan A,2016-03-03,9.36308676404,-78.8380926538,25
Plan A,2016-03-03,9.34897488874,-79.1320629437,27
Plan A,2016-03-03,9.3562572132,-78.8383533929,33
Plan A,2016-03-03,9.36518568326,-78.9546759145,30
Plan A,2016-03-03,9.48217959429,-78.9533065549,30
Plan A,2016-03-03,9.36608449107,-79.3821711503,25
Plan A,2016-03-03,9.36489621571,-79.0034332245,31
Plan A,2016-03-03,9.36599433006,-79.2656380111,14
Plan B,2016-03-03,9.36074369009,-79.002892483,18
Plan B,2016-03-03,9.31382690927,-79.3858811359,25
Plan B,2016-03-03,9.35640882504,-78.9531201376,25
Plan B,2016-03-03,9.36364195291,-79.0958406144,24
Plan B,2016-03-03,9.35024477256,-79.2908134724,26
Plan B,2016-03-03,9.34253027132,-79.2959072224,20
Plan B,2016-03-03,9.36304162228,-78.8387791493,19
Plan B,2016-03-03,9.35395132161,-78.8119197397,27
Plan B,2016-03-03,9.35139559645,-78.8115863367,20
Plan C,2016-03-03,9.36499467404,-78.8839324552,30
Plan C,2016-03-03,9.36169817581,-78.9537442759,36
Plan C,2016-03-03,9.36665409046,-78.8532295196,29
Plan C,2016-03-03,9.35785656205,-79.095381033,35
Plan C,2016-03-03,9.34930564032,-78.8525949538,24
Plan C,2016-03-03,9.36610848807,-78.8531682542,38
Plan C,2016-03-03,9.36115292811,-79.4022872851,44
Plan C,2016-03-03,9.3697643571,-78.8833839583,29
Plan C,2016-03-03,9.36636889648,-78.9533097572,24
Plan D,2016-03-03,9.3677978153,-79.3284032153,27
Plan D,2016-03-03,9.3525864527,-78.8528926749,23
Plan D,2016-03-03,9.36007082232,-78.8541237216,26
Plan D,2016-03-03,9.36784042378,-78.8126256153,29
Plan D,2016-03-03,9.34897677879,-79.2131603091,24
Plan D,2016-03-03,9.3621260825,-78.8377852459,26
Plan D,2016-03-03,9.34979496617,-78.8842508391,27
Plan D,2016-03-03,9.35357717618,-78.8110857343,33
Plan D,2016-03-03,9.33083523879,-78.8840334017,26
Plan E,2016-03-03,9.40469830982,-78.8534957711,26
Plan E,2016-03-03,9.36398620662,-79.0877305703,35
Plan E,2016-03-03,9.34989484172,-78.954404671,34
Plan E,2016-03-03,9.35842153252,-79.2139824798,24
Plan E,2016-03-03,9.36260707835,-78.8383636556,28
Plan E,2016-03-03,9.42574794974,-79.0032610815,31
Plan E,2016-03-03,9.36512728818,-79.3683555915,31
Plan E,2016-03-03,9.36826638911,-79.2947530412,33
Plan E,2016-03-03,9.34708496204,-79.0957021131,28
Plan F,2016-03-03,9.31172439097,-79.1325688647,30
Plan F,2016-03-03,9.36384260342,-79.0952293904,36
Plan F,2016-03-03,9.36346621053,-78.8533154713,27
Plan F,2016-03-03,9.33653189501,-78.8376400279,24
Plan F,2016-03-03,9.3661003279,-79.2129692798,18
Plan F,2016-03-03,9.36237782133,-78.8841822914,25
Plan F,2016-03-03,9.28312550721,-78.812184515,28
Plan F,2016-03-03,9.34141545997,-79.0035658835,29
Plan F,2016-03-03,9.36779120632,-78.9539389639,24
Plan G,2016-03-03,9.36279189292,-79.3283279878,25
Plan G,2016-03-03,9.3618281283,-79.5121212562,19
Plan G,2016-03-03,9.35672026893,-79.2130240282,20
Plan G,2016-03-03,9.36108473232,-79.002601292,28
Plan G,2016-03-03,9.35452575894,-79.1315447318,31
Plan G,2016-03-03,9.36433256317,-78.8843076372,16
Plan G,2016-03-03,9.36358485287,-78.811349392,28
Plan G,2016-03-03,9.36255610106,-78.812052545,24
Plan G,2016-03-03,9.35941499783,-78.9542790721,27
Plan A,2016-03-04,9.28908445564,-78.8116548623,27
Plan A,2016-03-04,9.34809527176,-79.0032324796,27
Plan A,2016-03-04,9.35615838365,-78.8841423808,32
Plan A,2016-03-04,9.34216812416,-79.3692207591,20
Plan A,2016-03-04,9.36525627836,-79.3293720287,26
Plan A,2016-03-04,9.36427398269,-78.8120542621,35
Plan A,2016-03-04,9.36315575238,-79.0031080008,30
Plan A,2016-03-04,9.36389252639,-78.8383522877,22
Plan A,2016-03-04,9.36578486781,-79.5027695829,20
Plan B,2016-03-04,9.34819942243,-79.4141923899,35
Plan B,2016-03-04,9.36503901269,-78.8388162062,26
Plan B,2016-03-04,9.36129606606,-78.8376397135,32
Plan B,2016-03-04,9.34960051535,-78.8390074417,27
Plan B,2016-03-04,9.32472138545,-79.3624675252,23
Plan B,2016-03-04,9.35878388518,-78.8117172769,30
Plan B,2016-03-04,9.36081235989,-78.8846561494,37
Plan B,2016-03-04,9.33804928534,-79.0876170505,19
Plan B,2016-03-04,9.36007091272,-79.0959680358,32
Plan C,2016-03-04,9.36839799445,-79.264588226,27
Plan C,2016-03-04,9.35023422983,-78.8118782612,21
Plan C,2016-03-04,9.34306868725,-78.8845305913,24
Plan C,2016-03-04,9.35710021175,-78.8112200244,23
Plan C,2016-03-04,9.35370253953,-78.8117238931,28
Plan C,2016-03-04,9.34161788055,-78.811876808,26
Plan C,2016-03-04,9.36303538584,-78.8111420861,32
Plan C,2016-03-04,9.35404869542,-78.8376273375,23
Plan C,2016-03-04,9.25404647327,-79.1321491485,21
Plan D,2016-03-04,9.36369052445,-78.8539500128,27
Plan D,2016-03-04,9.3660832744,-78.8846243353,43
Plan D,2016-03-04,9.36906866589,-78.8377678446,20
Plan D,2016-03-04,9.34855221957,-79.0030553809,16
Plan D,2016-03-04,9.36305743906,-79.0878020283,24
Plan D,2016-03-04,9.19550234139,-79.0874691242,19
Plan D,2016-03-04,9.35278534814,-78.8118701618,32
Plan D,2016-03-04,9.36502436996,-78.8381234653,22
Plan D,2016-03-04,9.35802947544,-79.3287830964,24
Plan E,2016-03-04,9.34365138083,-78.8540036472,32
Plan E,2016-03-04,9.36269420819,-79.0956252343,30
Plan E,2016-03-04,9.35939909752,-79.3233012096,24
Plan E,2016-03-04,9.35151404982,-79.3295873714,23
Plan E,2016-03-04,9.35380059191,-78.883651429,25
Plan E,2016-03-04,9.34995221636,-78.8376281849,25
Plan E,2016-03-04,9.36247113559,-79.0032306163,30
Plan E,2016-03-04,9.35111147291,-78.8536014614,20
Plan E,2016-03-04,9.35517369382,-78.8121690015,31
Plan F,2016-03-04,9.31972195797,-78.8124897941,24
Plan F,2016-03-04,9.34939326462,-78.8532693705,22
Plan F,2016-03-04,9.36600989552,-78.8380130834,25
Plan F,2016-03-04,9.35038712811,-79.2912438823,21
Plan F,2016-03-04,9.36975344814,-78.9532995782,35
Plan F,2016-03-04,9.36273461867,-79.0038035716,24
Plan F,2016-03-04,9.36583713115,-78.8118969636,31
Plan F,2016-03-04,9.33961057448,-78.8113547229,32
Plan F,2016-03-04,9.36098812228,-79.2917417085,23
Plan G,2016-03-04,9.35782991973,-79.2129476124,28
Plan G,2016-03-04,9.47183292245,-78.8377808055,29
Plan G,2016-03-04,9.34411933883,-78.8110071883,26
Plan G,2016-03-04,9.34845078579,-78.8385162444,19
Plan G,2016-03-04,9.36681076188,-78.8528107137,35
Plan G,2016-03-04,9.34483937275,-79.0026296524,32
Plan G,2016-03-04,9.3499204264,-78.8381361649,35
Plan G,2016-03-04,9.34761746955,-78.8384592756,28
Plan G,2016-03-04,9.34364652936,-78.8387660409,28
Plan A,2016-03-05,9.35399189582,-78.8538957154,22
Plan A,2016-03-05,9.36326618145,-79.0039037052,27
Plan A,2016-03-05,9.35434088701,-78.9538149736,31
Plan A,2016-03-05,9.36448743433,-78.8385858699,26
Plan A,2016-03-05,9.42231772252,-79.086399788,27
Plan A,2016-03-05,9.36280353718,-78.83807747,35
Plan A,2016-03-05,9.33091461336,-78.838072376,23
Plan A,2016-03-05,9.35942535748,-79.0027823889,27
Plan A,2016-03-05,9.36604024758,-78.8837007355,27
Plan B,2016-03-05,9.35157201415,-78.8378616749,21
Plan B,2016-03-05,9.34287979009,-79.2131247277,17
Plan B,2016-03-05,9.34624296608,-79.0875905729,18
Plan B,2016-03-05,9.36322822335,-79.2914531623,24
Plan B,2016-03-05,9.36128867256,-79.0033397279,35
Plan B,2016-03-05,9.3526457805,-78.8530491981,30
Plan B,2016-03-05,9.35178360205,-79.003714741,21
Plan B,2016-03-05,9.36605931989,-78.8118452732,20
Plan B,2016-03-05,9.32218803426,-78.8850796217,24
Plan C,2016-03-05,9.35037054406,-78.8537657335,23
Plan C,2016-03-05,9.3431539236,-78.8841853951,27
Plan C,2016-03-05,9.36512685142,-79.3871504358,19
Plan C,2016-03-05,9.3632267432,-78.8540647957,29
Plan C,2016-03-05,9.35789719888,-78.8386873711,23
Plan C,2016-03-05,9.36467634171,-78.8838526651,25
Plan C,2016-03-05,9.3561088892,-79.3680598396,23
Plan C,2016-03-05,9.34399400328,-78.8116327821,22
Plan C,2016-03-05,9.36193314345,-79.2918975197,32
Plan D,2016-03-05,9.355907548,-78.8389292269,29
Plan D,2016-03-05,9.35009776077,-78.8114848478,23
Plan D,2016-03-05,9.3607277563,-79.2128893913,25
Plan D,2016-03-05,9.34815892702,-79.0037777679,33
Plan D,2016-03-05,9.35736627872,-79.1320514094,28
Plan D,2016-03-05,9.3368305744,-79.004102052,21
Plan D,2016-03-05,9.36650658597,-79.0960125869,28
Plan D,2016-03-05,9.35316538218,-79.0962098258,25
Plan D,2016-03-05,9.35675358604,-79.087559928,34
Plan E,2016-03-05,9.3475653272,-78.9531703631,24
Plan E,2016-03-05,9.33701202115,-78.8121415966,22
Plan E,2016-03-05,9.36719901118,-78.9544834422,25
Plan E,2016-03-05,9.35146144967,-79.0036309178,29
Plan E,2016-03-05,9.36274630799,-78.8839132966,24
Plan E,2016-03-05,9.34875470075,-79.2911799342,23
Plan E,2016-03-05,9.35048639757,-79.3823198089,27
Plan E,2016-03-05,9.36895669406,-79.0037869937,34
Plan E,2016-03-05,9.34974174044,-79.0029755292,26
Plan F,2016-03-05,9.36181723525,-78.8842827103,24
Plan F,2016-03-05,9.35784543827,-79.295743815,29
Plan F,2016-03-05,9.3635665658,-79.0028747618,17
Plan F,2016-03-05,9.36064258186,-78.8530887528,17
Plan F,2016-03-05,9.29483092921,-78.8387270739,22
Plan F,2016-03-05,9.36206205254,-78.8119716228,39
Plan F,2016-03-05,9.29375253927,-79.0957126348,19
Plan F,2016-03-05,9.35727203122,-78.8843309383,24
Plan F,2016-03-05,9.34129982077,-79.3684029137,34
Plan G,2016-03-05,9.35386021981,-78.8535690163,31
Plan G,2016-03-05,9.31143176687,-78.8845974358,14
Plan G,2016-03-05,9.36756433731,-78.884394306,27
Plan G,2016-03-05,9.36381835911,-79.4232019064,27
Plan G,2016-03-05,9.32112977907,-79.0035776722,22
Plan G,2016-03-05,9.35191543039,-78.8381355268,30
Plan G,2016-03-05,9.34930439323,-79.2645055116,33
Plan G,2016-03-05,9.348548192,-78.8120797556,29
Plan G,2016-03-05,9.36515014585,-78.8120080138,36
Plan A,2016-03-06,9.52404894757,-78.8529198755,23
Plan A,2016-03-06,9.34989939803,-79.0960557625,25
Plan A,2016-03-06,9.36140730414,-78.8539670062,26
Plan A,2016-03-06,9.34943509633,-79.1322084278,31
Plan A,2016-03-06,9.27963138044,-79.0961906872,24
Plan A,2016-03-06,9.36505749635,-78.83815891,26
Plan A,2016-03-06,9.35614814307,-78.953891338,35
Plan A,2016-03-06,9.36601156985,-78.9536092536,35
Plan A,2016-03-06,9.36275920078,-78.8113437593,27
Plan B,2016-03-06,9.33190229518,-78.811320288,30
Plan B,2016-03-06,9.36618187426,-79.2910770635,37
Plan B,2016-03-06,9.36547259856,-79.3296281323,21
Plan B,2016-03-06,9.36734948139,-78.8115717689,29
Plan B,2016-03-06,9.36373406928,-78.8116508913,35
Plan B,2016-03-06,9.36848034895,-78.8117357733,21
Plan B,2016-03-06,9.35075433661,-78.8115334578,20
Plan B,2016-03-06,9.34702683329,-79.480253735,16
Plan B,2016-03-06,9.36713226586,-78.9539062641,40
Plan C,2016-03-06,9.3511217061,-78.8836474354,22
Plan C,2016-03-06,9.34667055788,-79.2913815664,23
Plan C,2016-03-06,9.35117295591,-78.8525292069,29
Plan C,2016-03-06,9.35264861283,-78.8387894093,25
Plan C,2016-03-06,9.34849689241,-79.2130406036,18
Plan C,2016-03-06,9.36730215119,-78.8537717666,26
Plan C,2016-03-06,9.35682865063,-78.8846168285,22
Plan C,2016-03-06,9.34917592454,-78.812133696,33
Plan C,2016-03-06,9.35011747066,-79.4079803921,24
Plan D,2016-03-06,9.36509774931,-78.8838798353,26
Plan D,2016-03-06,9.36305457616,-78.8533126367,27
Plan D,2016-03-06,9.36551512252,-78.8835536066,29
Plan D,2016-03-06,9.36556668704,-78.83792217,32
Plan D,2016-03-06,9.3673937829,-78.8121362633,23
Plan D,2016-03-06,9.35569875807,-79.1316710181,24
Plan D,2016-03-06,9.34965316294,-78.8111117271,41
Plan D,2016-03-06,9.36015824579,-78.8375266598,22
Plan D,2016-03-06,9.36119308821,-78.8120250778,32
Plan E,2016-03-06,9.35237197004,-79.2644683843,25
Plan E,2016-03-06,9.35338322563,-79.0871498387,26
Plan E,2016-03-06,9.30639197844,-79.3293545693,15
Plan E,2016-03-06,9.34868378342,-78.8378676096,30
Plan E,2016-03-06,9.33135987208,-79.087094764,28
Plan E,2016-03-06,9.35685242113,-78.8109561799,31
Plan E,2016-03-06,9.36194903362,-79.003170446,42
Plan E,2016-03-06,9.34929076642,-78.8378196869,24
Plan E,2016-03-06,9.35195901117,-79.4364798952,21
Plan F,2016-03-06,9.36733170273,-79.0878228021,21
Plan F,2016-03-06,9.36152131001,-79.4088662029,22
Plan F,2016-03-06,9.36578252808,-79.3626495853,19
Plan F,2016-03-06,9.3664063426,-78.8849589099,32
Plan F,2016-03-06,9.3573478381,-78.8374757273,25
Plan F,2016-03-06,9.33977114662,-79.2916048304,25
Plan F,2016-03-06,9.36618100265,-79.0864847396,25
Plan F,2016-03-06,9.36176484044,-79.2133915013,22
Plan F,2016-03-06,9.36432639494,-78.8530386132,23
Plan G,2016-03-06,9.35704249656,-78.8846903012,29
Plan G,2016-03-06,9.30818156689,-78.8380028361,33
Plan G,2016-03-06,9.36426245202,-78.8115864715,24
Plan G,2016-03-06,9.36707791657,-78.8840697296,23
Plan G,2016-03-06,9.3500844049,-78.8382892183,18
Plan G,2016-03-06,9.36454037954,-79.0026224864,29
Plan G,2016-03-06,9.35016434295,-78.8388141899,18
Plan G,2016-03-06,9.35253567231,-78.8387686533,31
Plan G,2016-03-06,9.36104126523,-79.4966348526,18
Plan A,2016-03-07,9.3628217774,-79.0031049817,20
Plan A,2016-03-07,9.33937662189,-79.0031212725,31
Plan A,2016-03-07,9.36783822649,-78.8387773714,18
Plan A,2016-03-07,9.3499592057,-78.8538072198,29
Plan A,2016-03-07,9.36371933761,-79.0961891352,32
Plan A,2016-03-07,9.35271124785,-79.2128229834,22
Plan A,2016-03-07,9.35007322853,-78.9534092002,30
Plan A,2016-03-07,9.31176786833,-79.0966222526,15
Plan A,2016-03-07,9.35662408528,-78.953364065,23
Plan B,2016-03-07,9.3632910567,-79.2908988617,26
Plan B,2016-03-07,9.33921503011,-78.9541813191,24
Plan B,2016-03-07,9.35061686164,-78.8848143258,21
Plan B,2016-03-07,9.36444560507,-79.2126856539,19
Plan B,2016-03-07,9.36222344259,-79.1316262281,25
Plan B,2016-03-07,9.36625923921,-78.853447005,28
Plan B,2016-03-07,9.36403255274,-78.8112088502,21
Plan B,2016-03-07,9.36600825296,-78.811396958,41
Plan B,2016-03-07,9.36043992424,-78.8526988445,32
Plan C,2016-03-07,9.35840144521,-78.8534929207,25
Plan C,2016-03-07,9.3626392051,-79.0965800456,29
Plan C,2016-03-07,9.35627786445,-79.0866109271,26
Plan C,2016-03-07,9.36451194539,-78.8840212292,28
Plan C,2016-03-07,9.35863761835,-78.8117768586,23
Plan C,2016-03-07,9.3550390709,-79.3859572517,24
Plan C,2016-03-07,9.34956090562,-79.0959355286,26
Plan C,2016-03-07,9.34123443802,-78.9537336439,21
Plan C,2016-03-07,9.35400931048,-78.8124717188,28
Plan D,2016-03-07,9.35561249837,-79.0035363099,29
Plan D,2016-03-07,9.35427175936,-79.368436545,19
Plan D,2016-03-07,9.35735938383,-78.8526630704,28
Plan D,2016-03-07,9.34758278964,-79.2954888933,32
Plan D,2016-03-07,9.35255390434,-78.8376417873,35
Plan D,2016-03-07,9.36734588219,-79.0959456913,23
Plan D,2016-03-07,9.3532743642,-78.8382095985,39
Plan D,2016-03-07,9.36355842546,-79.3630998211,32
Plan D,2016-03-07,9.36009439263,-79.0030316924,31
Plan E,2016-03-07,9.35193209519,-79.3686231593,22
Plan E,2016-03-07,9.35283332422,-78.8847469962,24
Plan E,2016-03-07,9.36307441016,-79.0870449972,24
Plan E,2016-03-07,9.3353733338,-78.8378848992,13
Plan E,2016-03-07,9.34068313519,-79.3283793918,24
Plan E,2016-03-07,9.36299448934,-78.8540261188,19
Plan E,2016-03-07,9.36377488445,-79.0865870834,24
Plan E,2016-03-07,9.35058947787,-78.8120708185,23
Plan E,2016-03-07,9.35080308243,-78.8384802678,20
Plan F,2016-03-07,9.36534000072,-78.8113522184,27
Plan F,2016-03-07,9.34920502193,-78.8381032368,27
Plan F,2016-03-07,9.3623186351,-79.0869787215,30
Plan F,2016-03-07,9.34919169502,-78.8844650004,33
Plan F,2016-03-07,9.46422406736,-79.1326957865,34
Plan F,2016-03-07,9.35109659691,-78.8535936993,30
Plan F,2016-03-07,9.34798026025,-79.2648642693,22
Plan F,2016-03-07,9.36573985092,-78.8111978877,29
Plan F,2016-03-07,9.36458837908,-78.8121224176,23
Plan G,2016-03-07,9.3512500384,-78.8118026813,24
Plan G,2016-03-07,9.36572829882,-79.3687568717,19
Plan G,2016-03-07,9.34187849916,-78.8529472347,31
Plan G,2016-03-07,9.36689198577,-78.9540073606,34
Plan G,2016-03-07,9.3295269034,-78.9533382395,27
Plan G,2016-03-07,9.35160018148,-79.2949487092,23
Plan G,2016-03-07,9.36585552926,-78.838155296,26
Plan G,2016-03-07,9.34771856885,-78.8840007461,28
Plan G,2016-03-07,9.36881973884,-79.2922444128,29
Plan A,2016-03-08,9.3533424849,-78.8119076032,31
Plan A,2016-03-08,9.36350134175,-78.8374756316,31
Plan A,2016-03-08,9.35109113332,-79.1317459129,21
Plan A,2016-03-08,9.36513427089,-79.1319716543,20
Plan A,2016-03-08,9.35854840722,-79.4633123709,18
Plan A,2016-03-08,9.60690021341,-79.3683295193,33
Plan A,2016-03-08,9.36679460782,-78.8527192515,31
Plan A,2016-03-08,9.34628508783,-78.8839181792,25
Plan A,2016-03-08,9.34201088658,-79.3227617405,19
Plan B,2016-03-08,9.36590117628,-78.8531354493,23
Plan B,2016-03-08,9.36353034346,-78.8380988835,25
Plan B,2016-03-08,9.34455458308,-78.8526217281,20
Plan B,2016-03-08,9.3632796961,-78.8109584235,21
Plan B,2016-03-08,9.3494738372,-78.953792852,25
Plan B,2016-03-08,9.35758104709,-79.0871233824,28
Plan B,2016-03-08,9.36204368598,-78.8534457418,26
Plan B,2016-03-08,9.34452262063,-78.8533050747,19
Plan B,2016-03-08,9.34936308568,-78.8111380527,32
Plan C,2016-03-08,9.354251182,-78.8527682016,25
Plan C,2016-03-08,9.35854905479,-79.2947532452,22
Plan C,2016-03-08,9.30378657187,-79.0964586146,24
Plan C,2016-03-08,9.35080323791,-79.1322917326,25
Plan C,2016-03-08,9.36633633804,-78.8529235355,33
Plan C,2016-03-08,9.36208499942,-79.3297745628,24
Plan C,2016-03-08,9.35275188233,-78.8374153318,39
Plan C,2016-03-08,9.36275130729,-79.0867829815,25
Plan C,2016-03-08,9.35134961407,-78.8119541429,30
Plan D,2016-03-08,9.36758649658,-79.3685679209,32
Plan D,2016-03-08,9.36757304195,-78.953897736,25
Plan D,2016-03-08,9.36305174563,-78.8842735774,25
Plan D,2016-03-08,9.36741745774,-79.3630236058,23
Plan D,2016-03-08,9.31297167267,-79.3229061965,28
Plan D,2016-03-08,9.36800365692,-79.0872265169,30
Plan D,2016-03-08,9.36233052715,-79.0029247098,33
Plan D,2016-03-08,9.34412308391,-79.0030164962,18
Plan D,2016-03-08,9.36845444457,-78.9547433946,23
Plan E,2016-03-08,9.36259172428,-79.2648848118,28
Plan E,2016-03-08,9.34526506072,-78.8115261677,30
Plan E,2016-03-08,9.33926287834,-78.8842866763,22
Plan E,2016-03-08,9.35780475218,-78.8527684682,28
Plan E,2016-03-08,9.36368483883,-79.0036430106,32
Plan E,2016-03-08,9.34925794416,-78.8850312468,40
